Heading,Company Name,Location,Products & Annual Capacity,Country,Authorised Capital,Foreign Equity (%)
Manufacturing,Gold Mining & Extraction Industry,Kailali,Gold Mining Placer 25KG.,China,25,100
Manufacturing,Gold Mining & ExtractionIndustry,Dang,Placer Gold 25KG.,China,25,100
Manufacturing,Gold Mining & Extraction Industry,Kanchanpur,Placer Gold 17KG.,China,17,100
Manufacturing,Gold Mining & Extraction Industry,Baitadi,Placer Gold 17 KG.,China,17,100
Manufacturing,Gold Mining & Extraction Industry,Kaski,Placer Gold 17 KG.,China,17,100
Manufacturing,Construction Service,Kathmandu ,Construction Service Rs.70000000,India,30,100
Manufacturing,Audio Recording Studio,Kathmandu,Audio Recording 600nos.,USA,5,100
Manufacturing,Used Tyres Processing,Bara,Crumb Rubber 3000MT  Fuel Oil 220MT,India,20,100
Manufacturing,Cement,Makawanpur,Cement/Opc/Ppc/Psc 60000 MT,China,150,95
Manufacturing,Gold Mining & Extraction Industry,Kathmandu,Placer Gold 15 KG.,China,10,100
Manufacturing,Gold Mining & Extraction Industry,Kathmandu,Placer Gold 22 KG.,China,20,100
Manufacturing,Gold Mining & Extraction Industry,Kathmandu,Placer Gold 15 KG.,China,10,100
Manufacturing,Hydropower Project,Kaski,Electricity Hydropower 15.1 MW,India,2230,82
Manufacturing,Evroy Global Pvt. Ltd.,Banke,Pan Masala Gutkha 300MT,India,15,100
Manufacturing,Dairy Processing Industry,Lalitpur,Dairy Processing 66500,Canada,8,62.5
Manufacturing,Laxmi Cement Udhyog Pvt. Ltd.,Kathmandu,Cement,Seychelles,7600,90
Manufacturing,Carrier Tricycle And Scooter Assembling,Kathmandu,Carrier Tricycle 150nos.,China,10,100
Manufacturing,Uds International Pte. Ltd.Plain Pan Mas,Kathmandu,Pan Masala Gutkha Sweet Supari Khaini 50MT,Singapore,30,100
Manufacturing,Plain Pan Masala  Gutkha Sweet Supari,Saptari,Panmasala Gutkha  Supari Scented 250MT,India,20,85
Manufacturing,Water & Energy Nepal Pvt. Ltd.,Kathmandu,Water,India,833.3,32.46
Manufacturing,E & T Nepal Pvt.Ltd.,Kathmandu,Software Development 10packages,Japan,0.8,100
Manufacturing,E & T Nepal Pvt.Ltd.,Kathmandu,Software Development 10 Packages,Japan,0.8,100
Manufacturing,Furniture Manufacturing Industry,Kathmandu,Bed Cupboard Table Tea Table Chair 600nos,China,35,100
Manufacturing,Trabha Bricks Pvt. Ltd.,Nawalaparasi,Brick,Russia,12.2,48.6
Manufacturing,Essential Oil & Herbal Tea,Humla,Essential Oil2000ltr. Herbal Tea 14MT,S. Korea,10,100
Manufacturing,Essential Oil  Berbal Powder & Hotel Sop,Mugu,Essential Oil 8000ltr. Herbal Soap 20MT.,S. Korea,8.6,100
Manufacturing,J. Sijan Cargo Pvt. Ltd.,Kathmandu,Cargo Service,China,10.1,90
Manufacturing,Readymade Garments,Kathmandu,Readymade Garments Suits 4500 Pcs.,UK,16.1,75
Manufacturing,Coffee Plantation & Processing,Kavre,Coffee Beans 36MT,China,40,87.5
Manufacturing,Organic Vegetables,Kathmandu,Organic Vegetables 240 MT,China,30,100
Manufacturing,Solar Pv System For Home Appliance And L,Kathmandu,Solar Pv System For Lighting 4000sets,Japan,35,63
Manufacturing,Ghorahi Cement Industry Pvt. Ltd.,Dang,Cement,Bri.Virg.Is,4500,40
Manufacturing,Meat Production,Bardiya,Meat 1000MT SaUSAges 200MT,China,45,100
Manufacturing,Solar Pv Systems,Lalitpur,Solar Boiling 1500sets Lighting 4500sets.,S. Korea,25,100
Manufacturing,Readymade Garmnts,Lalitpur,Shirts Pants Jacket  T-Shirts 4000pcs.,Sweden,10,100
Manufacturing,Solar Pv Systems Production,Lalitpur,Solar Pv Lighting 4000sets.,China,30,100
Manufacturing,Dehydrated Ginger Ginger Powder And Cay,Surkhet,Ginger Powder Candy 26MT,Netherland,20.4,49
Manufacturing,Solar Pv System Production,Lalitpur,Solar System For Heating 1500sets.,China,25,100
Manufacturing,Shawl Stole Muffler Sweater Trouser,Lalitpur,Shawl Stole Muffler Sweater 600pcs.,UK,6,100
Manufacturing,Decorative Gift Articles Manufacturienng,Kathmandu,Decorative Gift Articles 150000nos.,Australia,10,100
Manufacturing,Chaudhary Biosis Nepal Pvt. Ltd.,Banke,Essential Oil 32KL Plant Extracts 5KL,Denmark,13.5,25
Manufacturing,Chaudhary Biosys Nepal Pvt. Ltd.,Dadeldhura,Essential Oil 30KL  Plant Extracts 10KL,Denmark,18,25
Manufacturing,Chaudhary Biosys Nepal Pvt. Ltd.,Kanchanpur,Essential Oil 40 KL  Plant Extracts 1KL,Denmark,16,25
Manufacturing,Chaudhary Biosys Nepal Pvt. Ltd.,Nawalaparasi,Essential Oil 50KL  Plant Extracts 1KL,Denmark,22.2,25
Manufacturing,Chaudhary Biosys Nepal Pvt. Ltd.,Rupandehi,Herbal 12000MT  Essential Oil 50000litres,Denmark,38,25
Manufacturing,Tigers Bruary Industries Pvt. Ltd.,Rupandehi,Beer 80000 H.L.,India,460,100
Manufacturing,Sherpa Bruary Pvt. Ltd.,SolUKhumbu,Beer 50000 HL,USA,310,20
Mineral,Lead Mining,Dhading,Lead Concentrate 900MT,China,49,100
Mineral,Copper Mining,Nuwakot,Copper Ingot 600MT,S. Korea,20,50
Mineral,Arment Minerals Metal P.Ltd.,Lalitpur,Minerals,India,50,50
Mineral,Iron & Ore And Sponge Iron,Baglung,Iron Ores 400000MT,UAE,500,100
Mineral,Kali Minerals International Pvt. Ltd.,Kanchanpur,Talk Power 400MT,India,15,80
Service,Financial Investment,Kathmandu,Project Financing  Share Investment 4,Singapore,830,60
Service,Language & Computer Training,Pokhara,Language Computer Training 50persons,S. Korea,5,100
Service,Software Development,Kathmandu,Software Development90 Package,Australia,5,95
Service,Software Development,Kathmandu,Software Development 60 Package,Philippines,6,100
Service,Computer Training,Kathmandu,Computer Training 600persons,Afganistan,2.5,100
Service,Software Development,Kathmandu,Software Development 110 Package,S. Korea,5.7,100
Service,Software Development,Kathmandu,Software Development 65 Package,Australia,2.5,100
Service,Language Training,Kathmandu,English Japanese Anguage Training 300package,Japan,11.4,100
Service,International Cargo Handling,Kathmandu,International Cargo 4000MT,China,12,100
Service,Computer & Language Training,Kathmandu,Computer Training  Chinese Language 300 Perso,China,12,100
Service,Software Development,Kathmandu,Software Development45package,Australia,4,100
Service,Convention Center,Kathmandu,Convention 2640nos.,Mauritius,50,100
Service,Software Development & Website Design,Kathmandu,Software Website Design 50no.S,USA,6,100
Service,Construction Services,Kathmandu,Construction Services 90000000,China,48,100
Service,Computer & Language Training,Kathmandu,Computer Training  Language 150 Persons,Syria,2.5,100
Service,Software Development,Lalitpur,Software Development90package,France,6,100
Service,Photography,Kathmandu,Photography 66000pices,China,10,100
Service,Hospital (Chinese Tra. Medicine With Acu,Lalitpur,Medical Wards Opd Service 12900persons,S. Korea,2.5,100
Service,Non Destructive Testing & Welding Inspec,Kathmandu,Non Destructive Testing  Welding Training 200,India,10,100
Service,Advertisement Agency With Adv. Materials,Kathmandu,Advertisement Boards Printing 100pcs.,India,20,100
Service,Software Development,Kathmandu,Software Development 100 Package,Germany,5,100
Service,Skill Development Training,Kathmandu,Skill Development Training 200persons,Singapore,10,100
Service,Software Development,Kathmandu,Software Development 80 Packages,Philippines,5,100
Service,Software Development,Kathmandu,Software Development 400 Packages,China,25,100
Service,Construction Service For Infrastructured,Kathmandu,Construction Service 60000000,USA,20,100
Service,Advertisement Materials Production,Kathmandu,Printed Materials 300nos.,China,30,100
Service,Computer Training,Kathmandu,Computer Training 600nos.,Afganistan,2.5,100
Service,Book Publication,Lalitpur,Book Publication Rs. 8000000,UK,4.4,50
Service,International Cargo Handling,Kathmandu,International Cargo Handling 3500MT,China,10,100
Service,Vocational Training,Kathmandu,Vocational Training 500persons,India,10,100
Service,Software Development,Kathmandu,Software Development,UK,15,100
Service,International Cargo Handling,Kathmandu,International Cargo 7000MT,China,25,100
Service,Software Development,Kathmandu,Software Development 50 Packages,Turkey,5,100
Service,Language & Computer,Kathmandu,Japanese English  Korean Language Tra 150sea,Japan,10,50
Service,Yeti Airlines International Pvt.Ltd.,Kathmandu,Air Service,UAE,1700,36
Service,Soul International Language Institute,Kathmandu,Language Training,S. Korea,10,50
Service,Business Oxygen Pvt.Ltd.,Lalitpur,Financial Share Investment,Netherland,629.4,100
Service,Software Development,Lalitpur,Software Development 200package,China,25,100
Service,Advertisement Materials Production,Kathmandu,Advertisement Printed 240 Audio 160 Video 8,China,25,100
Service,Advertising Material,Kathmandu,Advertising Materials 200nos.,India,150,80
Service,Training On Enterpreneurship Development,Kathmandu,Enterpreneurship Devlopment 900persons,India,20,25
Service,International Cargo Handling,Kathmandu,International Cargo 3500MT,India,10,100
Service,Advertisement Materials Production,Kathmandu,Advertisement Printed 200 Audio Video 30nos.,USA,5,100
Service,Project Financing And ShareInvestment,Lalitpur,Counseling Investment 1900000000,Hong Kong,1950,100
Service,Software Development And Language Traing,Kathmandu,Software Language 60 Packages,Japan,10,100
Service,Skill Training (In Permaculture),Jhapa,Permaculture Training 300 Persons,Canada,5,100
Service,Language & Computer Training Institute,Kathmandu,Language Computer Training 150students,Yemen,5,100
Service,Software Development,Lalitpur,Software Development 400 Packages,China,25,100
Service,Management And Career Skill Training,Lalitpur,Management And Career Training 600persons,India,10,100
Service,Software Development And Sebpage Design,Kathmandu,Software 100 Design 10nos.,Germany,10,100
Service,International Cargo Handling,Kathmandu,International Cargo 2000MT,Sweden,5,100
Service,International Cargo Handling,Kathmandu,International Cargo 3500 MT,Singapore,10,100
Service,International Cargo Handling,Kathmandu,International Cargo 5000MT,India,10,100
Service,International Cargo Handling,Kaski,International Cargo 3400MT,Syria,10,100
Service,Medical Diangostic Service,Kathmandu,Pathology Service 18000 Ecg Service 3000nos.,USA,10,60
Service,Various Types Of Construction Service,Nawalparasi,Construction Service Road Bridges 60000000,Japan,25,100
Service,Oxygen Gas Reffling,Solukhumbu,Oxygen Gas Cylinders Repair 16000,UK,20,50
Service,Machinary Equipment,Lalitpur,Construction Works 1000000000rs,India,800,100
Service,Software Development,Kathmandu,Software Development 75 Packages,India,10,100
Service,Software Development & Language Training,Makawanpur,English Korean Language Training 250persons,S. Korea,10,100
Service,Software Development,Kathmandu,Software Development 150 Packages,Germany,10,100
Service,Financial Investment Project Dev.,Kathmandu,Project Financing 10 Projects,Bri.Virg.Is,1950,90
Service,Printed Advertising Materials,Lalitpur,Printed Advertising Materials 2000nos.,USA,10,100
Service,Computer & Language Training Insatitute,Lalitpur,Computer Chinese Language 400 Persons,China,30,100
Service,Lord Buddha Education Academy Ltd.,Banke,Education,India,1500,99.45
Service,Language Training Institute,Kathmandu,English Japanese Language 600persons,Japan,30,100
Service,Cancer Diagnostic Service,Kathmandu,Cancer Diagnostic  14502samples,Netherland,16.3,50
Service,Machineries & Equipments Repari Workshop,Kathmandu,Machineries  Maintenance 210nos.,India,20,100
Service,Books Publication,Lalitpur,Books Publication 1000nos.,S. Korea,5,100
Service,Vocational Training Institute,Lalitpur,Mechanics Electrician Plumbing Category 135,Iran,20,100
Service,Management And Career Skill Training,Lalitpur,Management And Career 600students,USA,5,100
Service,Human Resources Training For Tv & Radio,Lalitpur,Tv & Radio Programs 360nos.,UK,9,100
Service,Software Development,Lalitpur,Software Development 300packages,China,30,100
Service,Language Training Institute,Kathmandu,English Language Training 900persons,New Zealand,15,100
Service,Various Kinds Of Construction Works,Kathmandu,Construction Dam  Tunnel 110000000,S. Korea,45.5,100
Service,Language Training Institute,Kathmandu,English Chinese Language Training 200persons,China,20,100
Service,Language Training Institute,Kaski,English German  Korean Language 200persons,Germany,20,100
Service,Language & Computer Training Institute,Lalitpur,Computer Language Training 250persons,USA,15,66.66
Service,Vocational Training Of Skill Developmen,Rupandehi,Electrician Plumbing Training 129 Persons,Brazil,10,100
Service,Language Training,Kathmandu,Russian Nepali Language Training 300persons,USA,10,50
Service,S Institute Of Management Ltd.,Kathmandu,Bba Mba Emba Mbae 240 Students,Singapore,250,40
Service,Business Process,Kathmandu,Bpo Of Internet Marketing 100times,Australia,5,100
Service,Language Training Institute,Kathmandu,English Nepali Language Training 200persons,USA,15,100
Service,Vocational Training Institute,Kathmandu,Skilled Manpower 500persons,China,35,100
Service,Software Development,Lalitpur,Software Development 300 Packages,China,30,100
Service,Infrastructure Development,Kathmandu,Construction Service 70000000,Bangladesh,30,100
Service,Flash Freight Logistics Pvt. Ltd.,Lalitpur 1,International Cargo 2500MT,India,6.5,100
Service,Blue Airways Pvt. Ltd.,Kathmandu,Airline Business 4800/Year,Qatar,570,55
Service,Chitwan Medical College Pvt. Ltd.,Chitwan,Medical College,India,1000,17.6
Tourism,Hotel With Restaurant,Kathmandu,Hotel 20beds Restaurant 50seats,Netherland,10,50
Tourism,Restaurant,Kathmandu,Restaurant 40seats,Spain,4.5,88.88
Tourism,Hotel With Restuarant,Kathmandu,Hotel Restaurant 50seats,China,15,100
Tourism,Restaurant,Kathmandu,Restaurant 120 Seats,Spain,8,25
Tourism,Hotel With Restaurant,Chitwan,Hotel 18 Beds Restaurant 25 Seats,Australia,2.5,100
Tourism,Restaurant,Kathmandu,Restaurant 40seats,China,2.5,100
Tourism,Restaurant,Lalitpur 5,Restaurant 40 Seats,New Zealand,6,100
Tourism,Restaurant,Kathmandu,Restaurant 40 Seats,China,2.5,100
Tourism,Hotel With Restaurant,Kaski,Hotel 40beds Restaurant 70 Seats,China,15,100
Tourism,Hotel With Restaurant,Kaski,Hotel 18 Beds Restaurant 30seats,Bri.Virg.Is,2.4,100
Tourism,Hotel With Restaurant,Kathmandu,Hotel 20beds Restaurant 50seats,India,5,100
Tourism,Hotel With Restaurant,Kathmandu,Hotel 20beds Restaurant 60 Seats.,China,2.5,100
Tourism,Restaurant,Kathmandu,Restaurant 80 Seats.,UAE,4.8,100
Tourism,Hotel With Restaurant,Kathmandu,Hotel 42 Beds Restaurant 80seats,China,15,100
Tourism,Hotel With Restaurant,Kaski,Hotel 10beds Restaurant 35seats,S. Korea,2.5,100
Tourism,Restaurant,Lalitpur,Restaurant,S. Korea,5.6,100
Tourism,Hotel With Restaurant,Lalitpur,Hotel 20beds Restaurant 50seats,China,12,100
Tourism,Restaurant,Lalitpur,Restaurant 150seats,China,12.5,100
Tourism,Restaurant,Kathmandu,Restaurant 60seats,Uzbekistan,5,100
Tourism,Hotel With Restaurant,Kathmandu,Hotel 20beds Restaurant 50seats,China,5,100
Tourism,Restaurant,Kathmandu,Restaurant 100 Seats,China,10,100
Tourism,Restaurant,Kathmandu,Restaurant 70 Seats,China,6,100
Tourism,Hotel,Lalitpur,Hotel 40 Beds,China,25,100
Tourism,Hotel With Restaurant,Kathmandu,Hotel 40beds Restaurant 70 Seats,Switzerland,5,100
Tourism,Floriclture Industry,Kathmandu,Flowers 30MT,China,25,100
Tourism,Hotel With Restaurant,Kavre,Hotel 200 Beds  Restaurant 40 Seats,Switzerland,271.3,100
Tourism,Restaurant,Kathmandu,Restaurant 70seats,Bangladesh,5,100
Tourism,Gaida Ireland Camp Pvt. Ltd.,Chitwan,Hotel & Restaurant,Germany,19,40
Tourism,Bajra Resort & Firm House P.Ltd.,Sindhupalchowk,Hotel,Netherland,70,57
Tourism,Hotel With Restaurant,Kathmandu,Hotel,China,30,100
Tourism,Namlo Restaurant & Wine Garden,Lalitpur,Restaurant,Bhutan,5,100
Tourism,Hotel With Restaurant,Kathmandu,Hotel 46 Beds  Restaurant 60 Seats,China,50,100
Tourism,Hotel With Restaurant,Kathmandu,Hotel 28 Beds  Restaurant 100seats,USA,20,50
Tourism,Hotel With Restaurant,Kathmandu,Hotel 48beds Restaurant 100seats,USA,100,100
Tourism,Hotel With Restaurant,Kathmandu,Hotel 20beds Restaurant 40seats,France,10,50
Tourism,Hotel With Restaurant,Lalitpur,Hotel 40beds  Restaurant 100seats,Brazil,15,100
Tourism,Restaurant,Kaski,Restaurant 40seats,USA,2.5,100
Tourism,Restaurant,Kathmandu,Restaurant 150seats,USA,15,100
Tourism,Royal Pengween Butic Hotel Pvt.Ltd.,Kathmandu,Hotel 44beds  Restaurant 80seats,Russia,40,75
Tourism,Resort Hotel With Restaurant,Chitwan,Hotel 48beds  Restaurant 50seats,Colombia,31.7,20
Tourism,Restaurant,Kathmandu,Restaurant 100 Seats,China,10,50
Tourism,Hotel With Restaurant,Kathmandu,Hotel 45beds  Restaurant 60seats,China,17,100
Tourism,Restaurant,Kathmandu,Restaurant 60 Seats,China,5,100
Tourism,Hotel With Resort,Kathmandu,Hotel 48beds  Restaurant 60 Seats,Switzerland,90,100
Tourism,Restaurant,Kaski,Restaurant 60 Seats,S. Korea,5,100
Tourism,Restaurant,Kathmandu,Restaurant 150 Seats,India,50,100
Tourism,Hotel And Restaurant,Kaski,Hotel 20  Restaurant 40seats,Malaysia,20,100
Tourism,Restaurant,Kathmandu,Restaurant 300 Seats,China,100,100
Tourism,Resort,Dhital,Hotel 10  Restaurant Seats 10nos.,UK,10,100
Tourism,Hotel With Restaurant,Rupandehi,Hotel 44  Restaurant  100seats,China,100,100
Tourism,Hotel And Restaurant,Dhading,Hotel And Restaurant 50 Seats,S. Korea,10,50
Tourism,Hotel With Restaurant,Lalitpur,Hotel 40 Restaurant 70 Seats,S. Korea,20,100
Tourism,Restaurant,Kaski,Restaurant 70 Seats,France,6,83.33
Tourism,Global Technology & Trademark Ltd.,Bhaktapur,Hotel Restaurant 300 Seats,Bri.Virg.Is,1940,100
Tourism,Pavilions Himalaya Hk Limited,Kaski,Hotel 48 Restaurant 100seats,Hong Kong,170,75
Tourism,Restaurant,Kaski,Restaurant 90 Seats,Germany,10,50
Tourism,Hotel,Kathmandu,Hotel 40seats,China,30,100
Tourism,Restaurant,Pokhara,Restaurant 110 Seats,Canada,10,50
Tourism,Restaurant,Lalitpur,Restaurant 110seats,USA,10,100
Tourism,Hotel With Restaurant,Kaski,Hotel 20 Restaurant 40seats,Russia,10,100
Tourism,Restaurant,Kaski,Restaurant 100 Seats,UK,10,100
Tourism,Restaurant,Pokhara,Restaurant 110 Seats,S. Korea,10,100
Tourism,Hotel With Restaurant,Kathmandu,Hotel 32beds Restaurant 70 Seats.,Australia,20,50
Tourism,Restaurant,Kaski,Restaurant 70 Seats,Austria,6,83.33
Tourism,Hotel With Restaurant,Lalitpur,Hotel 40beds  Rrestaurant 150seats,China,35,100
Tourism,Restaurant,Kathmandu,Restaurant 40seats,China,5,100
Tourism,Hotel With Restaurant,Kathmandu,Hotel 32 Beds  Restaurant 30 Seats,UAE,10,100
Tourism,Restaurant,Kathmandu,Restaurant 50seats,USA,5,100
Tourism,Restaurant,Kathmandu,Restaurant 150 Seats,USA,15,100
Tourism,Hotel,Lalitpur,Hotel 40 Beds,China,30,100
Tourism,Restaurant,Kathmandu,Restaurant 80 Seats,USA,7.5,75
Tourism,Hotel With Restaurant,Matatirtha,Hotel 40beds Restaurant 100seats,Italy,15,100
Tourism,Hotel With Restaurant,Lalitpur,Hotel 40 Beds Restaurant 60seats,China,35,100
Tourism,Hotel With Restaurant,Bardiya,Hotel 20beds  Restaurant 40seats,France,6.2,80.65
